Johnson Su[F1],Johnson Sb[F2],Johnson Sb[F3],Johnson Su[F4]
-1.114127331,-0.731038804,-3.641148616,-0.592328654
-1.379321611,-0.860237927,-3.836951244,-1.104968704
-0.259316684,-0.625870531,-2.800849202,0.0222244985
-0.220485421,-0.144843281,-3.111515605,0.4715166281
-0.242638441,-0.50691103,-2.887948768,0.2188928868
-0.497425615,-0.482860208,-3.19167868,0.0560456842
-0.452983248,-0.235127559,-3.167865031,0.1395575176
-0.005834104,0.0083278046,-2.916853956,0.5669272008
-0.01124829,0.0074317921,-2.939300725,0.5427068304
-0.028653853,0.1028400618,-3.008630829,0.5726145774
0.695487038,0.0422487513,-1.98773902,1.0263540809
-0.410944744,-0.812052159,-2.874836244,-0.148496196
-0.151481329,-0.165538063,-3.010849503,0.4318544468
-0.112430795,-0.034762281,-2.931074784,0.4896116639
0.2485675693,-0.156511955,-2.430817595,0.6879675368
-0.011788871,-0.392117511,-2.534728018,0.3292711512
-0.315600504,-0.536021691,-3.052983382,0.2907439339
0.6283905175,0.1525346241,-2.269822729,1.0367952963
0.6928132415,0.0491598694,-2.042803073,1.0532162724
-0.163189964,0.0097099718,-3.21839337,0.5025750833
0.113856292,-0.624225247,-2.344933042,0.3125121892
-0.449696484,-0.855149982,-2.908382926,-0.199315934
0.4883720168,0.2136307603,-2.4852681,1.000426485
-0.05211964,-0.025844178,-2.894038615,0.4854674772
0.266075885,-0.080236909,-2.517174759,0.7162652241
1.3390978376,0.5174948156,-1.74315658,1.6112312934
0.9897627598,0.2640645493,-1.96248194,1.3634951528
0.8655067033,0.2987012782,-2.121647942,1.2609187798
0.7760524158,0.3359556668,-2.341341814,1.2368725279
0.8453953907,0.1273646113,-1.866126879,1.1293925446
0.9083368051,0.217662398,-1.90639075,1.2302649828
0.6694330469,0.0786955174,-2.059044931,1.0084902249
0.6969943584,0.1448680106,-2.21474855,1.0688936638
1.0612985296,0.2860240495,-1.771341416,1.3632976538
1.3533317672,0.3805806557,-1.417870372,1.5745331473
-5.639079157,,-5.977272962,-3.435825989
-3.502236973,,-5.216151302,-3.089689376
-7.465390767,,-6.35132071,-3.532705506
-10.03838276,,-6.593684338,-3.563040401
-5.08698271,-2.534634508,-6.052469672,-2.135967795
-4.706839747,-2.561991413,-5.95263071,-1.993518601
-5.096513689,-2.713913374,-6.021457593,-2.298486637
-5.730342691,,-6.165787864,-2.55598587
-4.009617566,-2.285265193,-5.585706849,-1.90309451
-4.191603932,-2.282071966,-5.696693688,-1.947544929
-6.280357112,,-6.297016515,-2.674707206
-4.175558431,-2.246137166,-5.718101673,-1.908011939
-3.117257117,,-4.926920093,-2.888159429
-3.038119477,-1.859087893,-5.09747507,-2.626617164
-2.916455801,-1.812545393,-4.985122542,-2.654153651
-2.428782995,-1.706415227,-4.623023012,-2.543789799
-2.925254956,-1.718429406,-5.027656085,-2.438475411
-2.908877758,-1.70596446,-4.932934783,-2.696314653
-3.581095898,-2.042712384,-5.361113265,-2.885258447
-2.814301364,-1.84993485,-4.89264987,-2.747406217
-2.294813233,-1.487162709,-4.585275153,-2.229980349
-2.579605482,-1.679552694,-4.770419929,-2.428329435
-3.190481606,-2.029477449,-5.075508735,-2.971808439
-2.708758964,-1.754818926,-4.777237993,-2.793247083
-3.096622169,-2.021740417,-4.99292867,-2.968819086
-8.494990786,,-6.618937857,-3.441611607
-6.178167954,-3.33439826,-6.385846005,-3.253432799
-3.366770789,-1.993285923,-5.312162076,-2.401369541
-4.001792853,-2.456634158,-5.602217015,-2.732032193
-3.68895406,-2.651677339,-5.445874397,-2.960014358
-4.439899629,-3.265419556,-5.752029231,-2.865075346
-4.148950705,,-5.585648096,-3.075763965
-4.346732873,,-5.696965715,-2.880423058
-3.936806635,-4.06041912,-5.514267142,-2.995088919
-3.307916763,-2.427779662,-5.196788464,-2.805578401
-3.316425385,-2.714439058,-5.176608214,-2.648577991
-4.319364029,,-5.633680667,-2.930905818
-4.51618069,,-5.694539017,-3.013202516
-5.128375962,,-5.89852341,-3.155135627
-3.253693321,-2.071570226,-5.146665844,-2.523793921
-3.127502142,-1.789299849,-5.131555738,-2.360436273
-2.969327715,-1.729268884,-5.024369425,-2.308790537
-2.553964033,-1.60678283,-4.748863571,-2.030187648
-2.834348523,-1.778445402,-4.886758867,-2.337814857
-6.62547813,,-6.4140252,-3.13161623
-2.409614689,-1.581495718,-4.654556348,-1.812277539
-2.69394152,-1.55500316,-4.886264738,-1.916511844
-2.403069711,-1.602521371,-4.677403376,-2.289825203
-2.814538294,-1.733244373,-4.96524256,-2.500619348
-2.752567881,-1.832307489,-4.856864113,-2.599989521
-3.186034363,-1.935209763,-5.09260095,-2.518609536
-3.053132396,-1.753855445,-5.058512621,-2.410337033
-2.517358703,-1.591383077,-4.686045911,-2.171157611
-3.11465881,-2.096098433,-5.042423889,-2.529906036
-2.219086896,-1.500615205,-4.495150435,-1.770166929
-2.805822385,-1.716740804,-4.86895015,-2.415371952
-2.927271513,-1.917458905,-4.931768423,-2.407559
-2.361991857,-1.537529959,-4.535319871,-2.536008332
-2.898397647,-1.710119447,-4.85691324,-2.895344661
-3.537498444,-2.165625044,-5.302451454,-2.947433202
-1.131439776,-0.543876146,-3.717543759,-1.046212561
-1.038824176,-0.582222594,-3.623225788,-0.810973988
-1.224382112,-0.583578416,-3.805825712,-1.068316898
-0.100169026,0.0760757421,-3.069194279,0.2904687641
0.6426217249,0.2851548223,-2.291406001,0.8890274457
0.4677921281,0.2114877142,-2.371517951,0.7422259844
0.3146559391,0.2337381889,-2.747838624,0.7109248676
-5.496906914,,-6.105735843,-3.238254148
-5.81326516,,-6.172681105,-3.348401244
-3.91056849,-2.160249825,-5.587250131,-2.613452929
-4.261699324,-2.516440768,-5.724653663,-2.761620476
-3.865204817,-2.416905066,-5.511263239,-2.676300605
-4.496942225,-2.529599932,-5.818051253,-2.849073255
-3.718885164,-1.913265238,-5.544894968,-2.820074153
-3.980171589,-2.422921969,-5.57005163,-2.960357438
-5.854755508,,-6.177370242,-3.26473106
-3.450396782,-1.958062312,-5.368910678,-2.697755642
-4.286379594,-2.357064386,-5.743120641,-2.929382506
-4.029837852,-2.080596711,-5.655122508,-2.899937141
-4.051410351,-2.14165779,-5.648221053,-2.914078355
-4.290399405,-2.883265945,-5.702986126,-3.027306459
-4.314632003,-2.536241308,-5.713087442,-2.945825239
-3.455787648,-2.247518205,-5.307891479,-2.887873065
