F1,F2,F3,F4
4.1758,0.2159,3.7455,0.3505
4.1677,0.2155,3.7482,0.3509
4.1766,0.2158,3.7471,0.3543
4.1831,0.2151,3.7429,0.3628
4.1775,0.2136,3.7401,0.3588
4.1901,0.2121,3.7454,0.3618
4.189,0.2128,3.7567,0.3509
4.1524,0.2171,3.7405,0.3551
4.1732,0.2129,3.7584,0.3537
4.1865,0.2145,3.7605,0.3561
4.1899,0.2111,3.7599,0.3561
4.1881,0.2135,3.7571,0.3501
4.1972,0.2125,3.7702,0.3494
4.1897,0.2143,3.758,0.3504
4.1647,0.2157,3.7566,0.3561
4.1925,0.2141,3.7592,0.3598
4.1735,0.2164,3.7722,0.3524
4.1814,0.2156,3.76,0.3346
4.1871,0.2152,3.7754,0.3581
4.1842,0.2151,3.7761,0.358
4.1836,0.2154,3.7698,0.348
4.1811,0.2153,3.7834,0.3595
4.1814,0.2165,3.7797,0.3558
4.1902,0.2153,3.7719,0.3343
4.1833,0.2161,3.7736,0.3351
4.1911,0.214,3.7761,0.3446
4.1231,0.2173,3.7721,0.3621
4.1933,0.2164,3.7692,0.3681
4.1831,0.2158,3.7674,0.3653
4.1955,0.216,3.7679,0.3685
4.156,0.217,3.7692,0.3654
4.1961,0.2156,3.7482,0.3827
4.1787,0.2158,3.7608,0.3535
4.1872,0.2156,3.7579,0.3635
4.1986,0.2142,3.7601,0.3742
4.1916,0.2156,3.7621,0.3726
4.1979,0.2168,3.7704,0.3451
4.1897,0.2161,3.7827,0.3524
4.1405,0.2219,3.7628,0.3637
4.1982,0.2174,3.7726,0.3438
4.1991,0.2164,3.7731,0.345
4.2007,0.2166,3.7826,0.3536
4.2007,0.2144,3.7744,0.3439
4.178,0.2178,3.7763,0.3461
4.2017,0.2172,3.7762,0.3493
4.1991,0.2164,3.7718,0.3596
4.1767,0.2174,3.7888,0.3619
4.1969,0.2161,3.7916,0.3617
4.2023,0.216,3.7898,0.3663
4.2007,0.2139,3.7941,0.3628
4.2093,0.2054,3.7876,0.3664
4.2017,0.2167,3.7896,0.3675
4.1932,0.2166,3.7891,0.3642
4.2067,0.2154,3.7942,0.3669
4.2007,0.2161,3.7945,0.3651
4.1765,0.219,3.7862,0.3541
4.2043,0.2166,3.7883,0.3727
4.2014,0.2168,3.7726,0.3729
4.2104,0.2146,3.7814,0.3699
4.2086,0.2144,3.782,0.37
4.1954,0.2172,3.7806,0.367
4.2058,0.2159,3.7817,0.3749
4.2021,0.2161,3.7844,0.3701
4.2061,0.2136,3.786,0.372
4.2144,0.2102,3.7923,0.3691
4.2178,0.216,3.8007,0.3698
4.209,0.2157,3.8004,0.3742
4.2062,0.2165,3.7801,0.3628
4.2178,0.2161,3.7598,0.3634
4.2104,0.2153,3.7732,0.3574
4.2161,0.2146,3.7807,0.3471
4.2063,0.2149,3.768,0.3584
4.1994,0.217,3.7667,0.3563
4.2085,0.2154,3.767,0.3586
4.1883,0.2171,3.7819,0.3591
4.2043,0.2167,3.7713,0.342
4.2085,0.2148,3.7667,0.34
4.2194,0.2146,3.7699,0.3517
4.2187,0.2131,3.778,0.3482
4.2165,0.2148,3.7797,0.3489
4.2099,0.2156,3.7672,0.333
4.2254,0.2155,3.7602,0.3822
4.2061,0.2155,3.7775,0.345
4.2102,0.2146,3.7744,0.3428
4.1887,0.2167,3.7852,0.3514
4.2121,0.2148,3.7962,0.3671
4.2146,0.2137,3.7874,0.3599
4.2065,0.2179,3.7891,0.3572
4.2068,0.2172,3.7755,0.3544
4.2033,0.2181,3.7828,0.349
4.1857,0.2189,3.7905,0.3602
4.203,0.2175,3.777,0.347
4.2074,0.2159,3.7784,0.3505
4.2071,0.2159,3.7877,0.363
4.1948,0.2164,3.7714,0.3566
4.2074,0.215,3.767,0.3487
4.2062,0.2185,3.7604,0.3489
3.8692,0.163,3.4753,0.3075
3.8877,0.1792,3.5321,0.3075
3.9055,0.172,3.5476,0.3164
3.9288,0.1777,3.5411,0.3054
3.9313,0.1791,3.5619,0.3138
3.9236,0.186,3.5672,0.3168
3.9755,0.1856,3.576,0.3171
3.9603,0.1866,3.592,0.3152
3.9797,0.1761,3.5944,0.306
3.9579,0.189,3.5928,0.3062
3.9855,0.193,3.6038,0.3173
3.9933,0.1893,3.6018,0.3157
4.0033,0.1956,3.6139,0.3258
4.01,0.1964,3.6154,0.3303
4.0175,0.1953,3.6089,0.3194
4.0128,0.1943,3.6254,0.3374
4.0284,0.1981,3.6361,0.3278
4.0079,0.2007,3.6343,0.3422
4.0234,0.2003,3.6319,0.3421
4.0353,0.196,3.6352,0.3587
4.03,0.1976,3.6463,0.3289
4.0174,0.201,3.6454,0.3312
4.0269,0.2007,3.6513,0.3321
4.0203,0.1999,3.6514,0.3316
4.0333,0.2025,3.6569,0.3313
4.0436,0.198,3.6626,0.3408
4.0298,0.2027,3.6614,0.334
4.0576,0.2028,3.66,0.3225
4.0433,0.2002,3.6706,0.3202
4.0529,0.2021,3.6614,0.3208
4.0477,0.2014,3.6607,0.3363
4.0623,0.2017,3.6696,0.3422
4.0566,0.2034,3.6663,0.3349
4.0509,0.1929,3.6707,0.3381
4.0214,0.2032,3.6744,0.3347
4.068,0.2017,3.657,0.3408
4.0743,0.2022,3.6745,0.3215
4.0696,0.2025,3.6596,0.3548
4.0746,0.2025,3.6624,0.3454
4.0594,0.2022,3.6739,0.3372
4.0512,0.2012,3.6677,0.3338
4.0693,0.2017,3.6798,0.3252
4.0899,0.2018,3.6877,0.3304
4.0697,0.2032,3.6814,0.3224
4.0867,0.2008,3.6729,0.3468
4.0851,0.2022,3.6783,0.3425
4.0679,0.1881,3.698,0.3445
4.0893,0.2038,3.6952,0.3311
4.0947,0.2031,3.7088,0.33
4.0971,0.1988,3.7144,0.3291
4.1026,0.2016,3.7231,0.33
4.1026,0.2036,3.6907,0.3454
4.104,0.2054,3.6846,0.3502
4.09,0.2066,3.6812,0.3248
4.1127,0.201,3.6921,0.339
4.1093,0.2034,3.6937,0.3336
4.1103,0.2043,3.7025,0.3458
4.1198,0.2027,3.7043,0.3454
4.1207,0.2036,3.7057,0.3443
4.1237,0.2057,3.7094,0.346
4.124,0.2063,3.7001,0.3442
4.0963,0.2046,3.7103,0.3402
4.1255,0.2062,3.7121,0.3477
4.1217,0.2055,3.7198,0.3487
4.1205,0.2065,3.7172,0.3477
4.1207,0.2039,3.7151,0.3505
4.1097,0.2075,3.7069,0.3482
4.1144,0.2066,3.7151,0.3525
4.1163,0.2058,3.6998,0.3483
4.1229,0.2038,3.6959,0.3489
4.12,0.2033,3.6951,0.3527
4.1237,0.1978,3.7212,0.3565
4.1245,0.193,3.7121,0.3437
4.1231,0.1975,3.7215,0.3367
4.1237,0.199,3.7233,0.3415
4.117,0.1973,3.7212,0.339
4.1262,0.197,3.7159,0.3495
4.1413,0.1807,3.7172,0.3297
4.1313,0.1985,3.7318,0.3361
4.1301,0.2005,3.7402,0.3378
4.1323,0.1994,3.7394,0.3363
4.1294,0.2086,3.7164,0.3364
4.1306,0.2082,3.7249,0.3436
4.1291,0.2092,3.7264,0.346
4.1281,0.2074,3.7175,0.3402
4.1293,0.207,3.7239,0.3491
4.1265,0.2075,3.7232,0.3455
4.13,0.2089,3.7223,0.3426
4.1332,0.2077,3.7162,0.363
3.9626,0.1914,3.5299,0.3078
3.9167,0.1948,3.5524,0.319
3.9787,0.1914,3.6304,0.327
4.017,0.1987,3.6104,0.2961
4.0771,0.201,3.6707,0.3292
4.0673,0.2029,3.6739,0.333
4.0721,0.2039,3.6712,0.3351
4.0679,0.2115,3.6584,0.3304
4.0947,0.2075,3.6869,0.3361
4.0716,0.2093,3.6948,0.3322
4.0752,0.2107,3.7077,0.3433
4.0961,0.209,3.7009,0.3218
4.1173,0.2082,3.7005,0.3194
4.1232,0.2069,3.7068,0.3383
4.1201,0.2093,3.6964,0.3461
4.1161,0.2112,3.7096,0.3455
4.103,0.2079,3.7098,0.3344
4.1054,0.2062,3.7122,0.3319
4.1204,0.2077,3.7215,0.3504
4.1128,0.2085,3.7124,0.3504
4.12,0.2052,3.713,0.3401
4.1284,0.2081,3.6998,0.3578
4.1084,0.207,3.7091,0.3447
4.0992,0.207,3.7093,0.3356
4.0965,0.2122,3.7219,0.3526
4.1284,0.2079,3.713,0.3426
4.1328,0.2079,3.7313,0.3529
4.1405,0.2093,3.7282,0.3451
4.1361,0.2109,3.7227,0.3427
4.1364,0.2089,3.7172,0.3523
4.1193,0.2132,3.7217,0.3353
4.1555,0.2076,3.7298,0.3387
4.152,0.2111,3.7334,0.3343
4.1516,0.2125,3.7396,0.3541
4.1467,0.2084,3.7306,0.3368
4.1674,0.2082,3.7423,0.3411
4.1335,0.2144,3.7408,0.3313
4.159,0.2149,3.7212,0.3673
4.1637,0.2136,3.7564,0.3428
4.1628,0.213,3.7532,0.3574
4.1433,0.2127,3.7583,0.3229
4.1472,0.2134,3.7634,0.3336
4.1669,0.2115,3.7762,0.3459
4.1721,0.2024,3.741,0.3393
4.1633,0.2065,3.7227,0.3405
4.1686,0.2035,3.7428,0.3521
4.1451,0.2029,3.7524,0.348
4.1798,0.2047,3.7446,0.3454
4.1738,0.2051,3.7465,0.3418
4.1728,0.2039,3.7478,0.3439
4.1923,0.1761,3.7429,0.3536
4.161,0.2034,3.7478,0.3464
4.1671,0.204,3.744,0.3327
4.1961,0.2028,3.7415,0.3296
4.1684,0.2041,3.7466,0.3463
4.185,0.2058,3.7345,0.3174
4.1897,0.2045,3.7475,0.3378
4.1862,0.2035,3.7587,0.345
4.1825,0.2063,3.7639,0.3492
4.1926,0.2033,3.7671,0.3529
4.193,0.2062,3.7411,0.3277
4.2063,0.2043,3.7592,0.3534
4.1878,0.2043,3.7608,0.3401
4.1979,0.2149,3.7706,0.3511
4.1842,0.2136,3.7568,0.3517
4.1892,0.2104,3.7676,0.3557
4.1886,0.2142,3.7711,0.3591
4.1967,0.2077,3.771,0.3523
4.1982,0.2142,3.773,0.3539
4.1893,0.2142,3.7674,0.3521
4.1541,0.2175,3.7677,0.365
4.1979,0.2162,3.7705,0.3743
4.2017,0.2153,3.7756,0.3723
4.1963,0.2145,3.7702,0.3594
4.1713,0.2181,3.7668,0.3528
4.174,0.2153,3.7686,0.3388
4.1807,0.2155,3.7764,0.3519
4.1971,0.2106,3.7679,0.3393
4.1966,0.2145,3.7785,0.3544
4.196,0.2155,3.7792,0.3539
4.1995,0.2146,3.7691,0.3499
4.1931,0.2156,3.7595,0.3487
4.1982,0.2156,3.7637,0.3536
4.1948,0.208,3.7605,0.3633
4.1876,0.2025,3.7647,0.3663
4.1943,0.2023,3.7567,0.3548
4.1936,0.2097,3.7592,0.3565
4.1945,0.2087,3.7596,0.3677
4.1926,0.2079,3.7627,0.3673
4.1967,0.2076,3.7507,0.3691
4.1831,0.2095,3.7664,0.367
4.1802,0.209,3.7652,0.3669
4.1914,0.2099,3.7607,0.3594
4.1245,0.1958,3.7704,0.3489
4.2129,0.2059,3.789,0.3681
4.1851,0.2133,3.7769,0.3504
4.2019,0.2105,3.7874,0.3425
4.2051,0.2103,3.7835,0.361
4.1943,0.211,3.7951,0.3632
4.2072,0.2076,3.7875,0.363
4.0666,0.2163,3.8018,0.3595
4.1974,0.2092,3.7986,0.3584
4.2094,0.2055,3.8135,0.3512
4.2061,0.2168,3.7884,0.3522
4.2041,0.2195,3.7864,0.3538
4.1815,0.2204,3.7749,0.3717
4.1971,0.2193,3.7972,0.3414
4.2113,0.2168,3.7849,0.3272
4.2149,0.2191,3.7956,0.3422
4.2164,0.2161,3.7864,0.3565
4.2209,0.219,3.7811,0.3469
4.2287,0.2175,3.782,0.3473
4.2037,0.2224,3.7553,0.3647
4.2307,0.218,3.7955,0.3564
4.2301,0.2067,3.7999,0.3511
4.2236,0.2107,3.8133,0.3615
4.2245,0.209,3.8042,0.3555
4.2355,0.2083,3.7981,0.3531
4.2184,0.2088,3.7997,0.3502
4.2323,0.2075,3.7967,0.3574
4.2184,0.2088,3.8017,0.3565
4.2222,0.2079,3.8011,0.3492
4.2176,0.2073,3.8023,0.3466
4.2336,0.2077,3.7963,0.3456
4.2399,0.2074,3.7819,0.3743
4.2345,0.2097,3.7973,0.3588
4.238,0.2091,3.798,0.363
4.2403,0.2096,3.7979,0.3656
4.2412,0.2102,3.791,0.3508
4.1817,0.2136,3.7935,0.3545
4.245,0.2083,3.7943,0.3633
4.2008,0.213,3.7952,0.3604
4.2411,0.2067,3.7989,0.3627
4.2374,0.2085,3.7992,0.3624
4.2274,0.2201,3.8024,0.363
4.2416,0.2191,3.7855,0.344
4.2396,0.2157,3.8039,0.3634
4.2406,0.2188,3.8071,0.365
4.2361,0.2182,3.8037,0.3625
4.2446,0.2112,3.8083,0.3651
4.2422,0.2187,3.8007,0.3723
4.2403,0.2182,3.8247,0.3673
4.2391,0.2196,3.8186,0.3696
4.2438,0.2196,3.7937,0.3861
4.229,0.2205,3.8046,0.3608
4.2321,0.2193,3.8061,0.3612
4.2388,0.2173,3.795,0.3717
4.2139,0.2158,3.7749,0.347
3.9561,0.1896,3.5809,0.31
3.9988,0.1912,3.5988,0.3209
4.0204,0.1892,3.6207,0.319
4.021,0.1971,3.6198,0.3349
4.0183,0.1928,3.6288,0.336
4.0277,0.1986,3.6277,0.3276
4.0503,0.1845,3.6388,0.3293
4.0722,0.1786,3.6613,0.3314
4.0534,0.1901,3.6522,0.3186
4.0517,0.1886,3.6561,0.332
4.0495,0.1878,3.6566,0.3347
4.0563,0.1905,3.6629,0.331
4.0553,0.1912,3.6561,0.3171
4.0686,0.1881,3.6623,0.3255
4.0754,0.1914,3.6516,0.3137
4.0789,0.1905,3.6731,0.3328
4.0657,0.2032,3.6626,0.3396
4.0773,0.1989,3.6725,0.327
4.0714,0.2012,3.6704,0.3387
4.0739,0.2017,3.6789,0.3365
4.0835,0.2023,3.684,0.3398
4.0832,0.2045,3.6866,0.3388
4.087,0.2014,3.6851,0.3405
4.0541,0.2056,3.6896,0.339
4.0563,0.2051,3.6905,0.344
4.0829,0.2027,3.6899,0.3461
4.1044,0.2011,3.6998,0.3335
4.1023,0.2048,3.7006,0.3386
4.1032,0.2022,3.7025,0.3434
4.1058,0.2039,3.7018,0.344
4.1042,0.2043,3.6966,0.3413
4.0988,0.2056,3.6831,0.3349
4.0995,0.2062,3.6901,0.3518
4.1044,0.2024,3.7041,0.3368
4.105,0.201,3.7035,0.3321
4.0939,0.2018,3.6997,0.333
4.1022,0.2028,3.6934,0.3244
4.0949,0.1934,3.6984,0.3434
4.1023,0.1958,3.6879,0.3466
4.0881,0.1987,3.696,0.3453
4.0983,0.198,3.7,0.3447
4.0932,0.198,3.7029,0.3413
4.0862,0.1988,3.7032,0.3417
4.1126,0.197,3.7035,0.3467
4.1126,0.197,3.7256,0.3445
4.1176,0.1944,3.7192,0.3518
4.1212,0.1989,3.7235,0.3568
4.104,0.1979,3.7116,0.3464
4.0996,0.1979,3.7124,0.3473
4.1181,0.1983,3.7174,0.3438
4.0933,0.2006,3.7221,0.3526
4.1276,0.1976,3.7333,0.3415
4.1237,0.1956,3.7245,0.3507
4.1321,0.1995,3.7267,0.3553
4.1427,0.1988,3.7224,0.342
4.1347,0.1997,3.7135,0.3497
4.1545,0.1995,3.7207,0.3507
4.15,0.1973,3.7415,0.3439
4.1464,0.1954,3.7471,0.3457
4.144,0.2007,3.7498,0.3488
4.1555,0.1982,3.7417,0.3542
4.1539,0.1983,3.7434,0.3481
4.1491,0.2003,3.7505,0.3335
4.1555,0.1989,3.7616,0.3424
4.1529,0.199,3.7556,0.343
4.1497,0.1993,3.7615,0.362
4.1664,0.1997,3.7654,0.3536
4.1516,0.2013,3.7495,0.3484
4.166,0.2016,3.7676,0.3418
4.1576,0.2031,3.7663,0.3423
4.1558,0.202,3.7647,0.3399
4.1667,0.1942,3.7672,0.3468
4.1708,0.2012,3.7631,0.3507
4.1721,0.1941,3.7759,0.3583
4.1622,0.2025,3.7716,0.3321
4.1692,0.2007,3.7703,0.3273
4.1683,0.2027,3.7717,0.3315
4.1778,0.1996,3.7645,0.3515
4.1663,0.2001,3.7557,0.3459
4.1905,0.1946,3.7628,0.3528
4.1825,0.1971,3.7615,0.358
4.1739,0.1961,3.7656,0.3548
4.15,0.199,3.7559,0.3536
4.1727,0.2009,3.7427,0.3469
4.1686,0.2015,3.748,0.3626
4.1712,0.202,3.7492,0.3606
4.1663,0.1995,3.7475,0.352
4.1768,0.1991,3.7658,0.3413
4.1692,0.2013,3.7589,0.3347
4.1701,0.1999,3.7683,0.3408
4.1771,0.1985,3.7659,0.338
4.1596,0.1994,3.7626,0.3343
4.1754,0.1948,3.7702,0.3403
4.1742,0.1993,3.7693,0.3373
4.1781,0.2016,3.7625,0.3296
4.1771,0.1994,3.7824,0.3506
4.178,0.1971,3.7802,0.3561
4.1803,0.1983,3.7742,0.3578
4.175,0.2016,3.7662,0.3553
4.169,0.2032,3.7584,0.3616
4.1783,0.1959,3.7685,0.3693
4.1829,0.1991,3.7684,0.3572
4.1692,0.2016,3.7697,0.3593
4.1775,0.2017,3.7756,0.3588
4.1849,0.2012,3.7728,0.3393
4.1798,0.2031,3.7757,0.3459
4.1696,0.2029,3.7741,0.3387
4.1867,0.2007,3.7631,0.3544
4.1898,0.1976,3.7641,0.351
4.1804,0.2011,3.7651,0.3507
4.18,0.1996,3.7504,0.3357
4.1766,0.2017,3.7613,0.3537
4.1789,0.2002,3.7633,0.348
4.1842,0.1996,3.7666,0.3552
4.1778,0.2,3.7532,0.3619
4.1721,0.203,3.7502,0.357
3.8174,0.1683,3.4828,0.2916
3.9283,0.1719,3.5391,0.3148
3.9756,0.1776,3.5656,0.3282
3.9529,0.1868,3.5646,0.2948
4.0017,0.1857,3.6334,0.3153
4.0264,0.1875,3.6352,0.3318
4.0356,0.1875,3.6394,0.3258
4.0395,0.1876,3.6446,0.3353
4.0486,0.185,3.6536,0.3297
4.0672,0.1971,3.6889,0.3252
4.0614,0.1832,3.6882,0.3305
4.0686,0.1897,3.695,0.3182
4.0516,0.1998,3.676,0.3209
4.074,0.1894,3.6772,0.3089
4.0651,0.191,3.6837,0.3157
4.0661,0.1928,3.6503,0.3033
4.0678,0.1879,3.6816,0.32
4.066,0.189,3.68,0.3235
4.0701,0.1897,3.6747,0.3214
4.0332,0.1922,3.6447,0.3306
4.0433,0.1909,3.6444,0.3236
4.0564,0.189,3.6459,0.3281
4.0424,0.1897,3.6679,0.3258
4.0481,0.1884,3.6706,0.3336
4.0144,0.1929,3.6629,0.3314
4.0428,0.1923,3.6586,0.3359
4.0498,0.1911,3.6594,0.3316
4.056,0.1757,3.6764,0.3311
4.0223,0.1917,3.6612,0.3227
4.0279,0.1869,3.6626,0.3099
4.0404,0.1977,3.6551,0.3085
4.0413,0.1847,3.6706,0.3225
4.0569,0.1887,3.6484,0.3328
4.04,0.1889,3.652,0.3209
4.0805,0.1877,3.6239,0.3577
4.0585,0.1908,3.6602,0.3122
4.0474,0.1897,3.6603,0.3137
4.0503,0.1889,3.6574,0.3335
4.032,0.1954,3.6643,0.3231
4.0572,0.1903,3.6511,0.3396
4.0562,0.1849,3.6561,0.3335
4.063,0.1892,3.6426,0.3385
4.0544,0.1877,3.6637,0.3247
4.0359,0.188,3.6636,0.3226
4.0515,0.1961,3.6573,0.3193
4.0533,0.196,3.6625,0.324
4.0585,0.1887,3.6665,0.324
4.0569,0.1888,3.6683,0.3247
4.0422,0.1898,3.6608,0.3254
4.0588,0.1988,3.6463,0.3307
4.0659,0.1894,3.665,0.3236
4.063,0.1989,3.6702,0.3289
4.0685,0.1988,3.6786,0.3276
4.0734,0.1815,3.6794,0.3339
4.0599,0.1905,3.6754,0.3313
4.0576,0.1998,3.6649,0.317
4.0581,0.1906,3.6752,0.3277
4.0648,0.1924,3.6801,0.3227
4.0558,0.1933,3.6673,0.3367
4.0692,0.193,3.6877,0.311
4.0675,0.1896,3.7011,0.3245
4.0746,0.1894,3.7081,0.3306
4.0915,0.191,3.6922,0.3269
4.0823,0.1936,3.6889,0.3285
4.0909,0.192,3.6933,0.3255
4.0653,0.1941,3.6888,0.3217
4.0922,0.1928,3.6902,0.3232
4.0898,0.1994,3.6921,0.3275
4.0918,0.1919,3.6922,0.3263
4.0704,0.2017,3.6798,0.3091
4.0976,0.1906,3.6896,0.3218
4.0972,0.1976,3.6848,0.3283
4.0668,0.1937,3.6917,0.3271
4.1,0.1878,3.6949,0.3214
4.1028,0.1966,3.6935,0.3251
4.095,0.1914,3.7005,0.3332
4.0943,0.2007,3.6949,0.3362
4.0938,0.2043,3.6681,0.3487
4.0975,0.1922,3.7002,0.3329
4.101,0.199,3.7006,0.3509
4.0988,0.1927,3.7011,0.3521
4.1059,0.1929,3.7013,0.3403
4.118,0.1994,3.7053,0.3571
4.102,0.1995,3.7088,0.3341
4.1037,0.202,3.7116,0.3292
4.1153,0.1951,3.7107,0.341
4.1044,0.1952,3.7175,0.3361
4.107,0.195,3.7117,0.3307
4.0823,0.2041,3.7128,0.3314
4.1047,0.1939,3.7097,0.327
4.1123,0.1908,3.7185,0.3184
4.1133,0.1924,3.7195,0.3229
4.0996,0.1955,3.7187,0.3199
4.1219,0.2015,3.6987,0.3523
4.127,0.2015,3.7094,0.3427
4.128,0.2014,3.712,0.3443
4.13,0.1933,3.7107,0.3469
4.1283,0.1927,3.715,0.3424
4.1274,0.1921,3.7095,0.3421
4.1248,0.2023,3.7095,0.3421
4.1283,0.2024,3.7134,0.3467
4.0898,0.1995,3.6425,0.397
4.1216,0.1932,3.7126,0.3532
4.1283,0.2034,3.7212,0.3438
4.1373,0.1947,3.7294,0.3345
4.1367,0.1957,3.7327,0.3451
4.1337,0.1933,3.7355,0.3396
4.1305,0.192,3.737,0.3427
4.1477,0.2002,3.7298,0.3283
4.1258,0.1945,3.7344,0.3336
4.1265,0.1967,3.7365,0.3126
4.1428,0.2053,3.7549,0.3372
4.1098,0.1963,3.7464,0.3281
4.1492,0.2049,3.7451,0.3435
4.1386,0.1953,3.7388,0.3422
4.1403,0.1974,3.739,0.3404
4.1195,0.1976,3.746,0.3411
4.1419,0.1967,3.7361,0.3264
4.1311,0.209,3.7491,0.3407
4.1482,0.195,3.7458,0.3429
4.1006,0.2053,3.7234,0.3304
4.148,0.1985,3.7402,0.3527
4.1393,0.2053,3.7373,0.354
4.1259,0.2062,3.7515,0.348
4.1419,0.2071,3.7525,0.3478
4.148,0.1976,3.753,0.3436
4.1272,0.1968,3.7485,0.3452
4.141,0.1981,3.7482,0.3502
4.1506,0.1987,3.7531,0.3499
4.1397,0.1994,3.7492,0.3493
4.1496,0.1981,3.7493,0.3386
4.1525,0.1986,3.7498,0.3297
4.1423,0.2002,3.7495,0.3348
4.139,0.1985,3.7494,0.3415
4.1492,0.1959,3.7521,0.3494
4.0653,0.1828,3.6825,0.3474
3.8953,0.1813,3.536,0.3025
3.9197,0.1841,3.5626,0.308
3.9441,0.1761,3.5744,0.3176
3.9703,0.1855,3.5926,0.322
3.9679,0.1918,3.606,0.3208
4.0106,0.1914,3.6249,0.3273
4.0047,0.1912,3.6139,0.3214
4.013,0.192,3.6364,0.3267
4.0341,0.1843,3.6432,0.3333
4.0393,0.1935,3.654,0.3358
4.03,0.1922,3.6562,0.3314
3.9821,0.1967,3.6578,0.3232
4.0451,0.1921,3.6589,0.3176
4.0591,0.1937,3.6703,0.3296
4.0302,0.1941,3.6739,0.3342
4.0305,0.1966,3.6638,0.3238
4.0401,0.1924,3.6774,0.3288
4.0394,0.1951,3.6762,0.3335
4.0517,0.1942,3.6524,0.3213
4.0381,0.1958,3.6594,0.3109
4.0523,0.1948,3.6691,0.3242
4.041,0.1924,3.667,0.3265
4.0321,0.1946,3.643,0.3209
4.0331,0.1942,3.651,0.3288
4.0058,0.1938,3.64,0.3228
4.0134,0.1914,3.6267,0.3053
4.0141,0.192,3.6229,0.3089
4.0203,0.1845,3.6045,0.2904
4.015,0.1828,3.6301,0.3268
3.9952,0.1885,3.6301,0.3268
4.0102,0.192,3.6333,0.3264
4.0025,0.1934,3.6114,0.336
3.9963,0.1809,3.623,0.3225
4.0031,0.1823,3.621,0.3236
4.0022,0.1761,3.6087,0.3282
3.9985,0.1902,3.6275,0.3401
3.9976,0.1912,3.6296,0.3331
4.0124,0.1811,3.6304,0.334
3.9963,0.19,3.6288,0.3301
3.9957,0.1904,3.5915,0.2794
4.0009,0.1907,3.6225,0.3267
3.9903,0.1924,3.6138,0.3087
4.0032,0.1843,3.6277,0.3268
3.9967,0.1922,3.6305,0.324
4.001,0.1848,3.6278,0.3187
4.0025,0.1928,3.6178,0.3241
4.0073,0.1919,3.6172,0.324
3.9974,0.1935,3.6181,0.3223
4.0095,0.1923,3.6241,0.3185
4.0102,0.1923,3.6241,0.3191
4.0105,0.1838,3.6222,0.3163
4.0092,0.1838,3.6256,0.3168
4.0108,0.1922,3.626,0.3186
4.0114,0.1922,3.6255,0.3195
4.0111,0.1922,3.6262,0.3195
4.0121,0.1915,3.6337,0.3257
4.0117,0.1915,3.6335,0.3269
4.0127,0.1914,3.6354,0.3264
4.0062,0.1932,3.6381,0.3261
4.0053,0.1933,3.6378,0.3264
4.0056,0.1926,3.6368,0.3267
4.0059,0.1929,3.6371,0.3264
4.0056,0.1929,3.6365,0.3269
4.0056,0.1848,3.638,0.3267
4.0056,0.1929,3.6374,0.3267
4.0053,0.1923,3.638,0.3128
4.0066,0.1935,3.638,0.3122
4.0059,0.1939,3.6385,0.3114
4.0159,0.1923,3.6367,0.3253
4.0166,0.1922,3.6366,0.3259
4.0157,0.1844,3.6379,0.3254
4.0166,0.1922,3.6377,0.3251
4.0159,0.1923,3.6366,0.3265
4.0156,0.192,3.637,0.3256
4.0163,0.1922,3.6373,0.3254
4.0156,0.1838,3.6285,0.3335
4.0163,0.1926,3.6282,0.3338
4.0163,0.1922,3.6285,0.3335
4.0087,0.1931,3.6402,0.3278
4.0087,0.1925,3.6394,0.3269
4.0093,0.1918,3.6402,0.3278
4.0087,0.1925,3.64,0.3275
4.0084,0.1844,3.64,0.3275
4.0097,0.1924,3.6405,0.3282
4.01,0.1927,3.6412,0.3276
4.01,0.1934,3.6586,0.3281
4.01,0.1931,3.6579,0.328
4.01,0.1931,3.6579,0.328
4.011,0.1927,3.6418,0.3231
4.0109,0.1917,3.6414,0.3234
4.0113,0.193,3.6411,0.3236
4.011,0.1927,3.6411,0.3236
4.0116,0.1923,3.6422,0.3243
4.0116,0.1927,3.641,0.3242
4.0116,0.1923,3.6419,0.3246
4.0103,0.1843,3.6341,0.3154
4.0107,0.1842,3.6334,0.3159
4.0119,0.1923,3.6337,0.3157
4.011,0.1839,3.6346,0.316
4.0125,0.1845,3.6355,0.3178
4.0138,0.1932,3.6364,0.3181
4.0132,0.1936,3.636,0.319
4.0129,0.1851,3.6356,0.3193
4.0141,0.1929,3.6357,0.3187
4.0138,0.1932,3.6364,0.3181
4.0138,0.1923,3.6357,0.3187
4.0141,0.1847,3.6526,0.3178
4.0151,0.1928,3.6438,0.3255
4.0141,0.1923,3.6434,0.3264
4.0144,0.1919,3.6356,0.3314
4.0147,0.1926,3.6361,0.3327
4.015,0.1929,3.6365,0.3318
4.0144,0.1923,3.6452,0.3248
4.0147,0.1926,3.6453,0.3242
4.0147,0.1926,3.6364,0.3324
4.0154,0.1932,3.6455,0.3245
4.0148,0.1853,3.6212,0.3329
4.0154,0.1938,3.629,0.325
4.016,0.1931,3.6213,0.3323
4.0151,0.1925,3.6316,0.3259
4.0141,0.1929,3.6403,0.3183
4.0154,0.1931,3.6325,0.3262
4.0148,0.1932,3.6401,0.318
4.0161,0.1931,3.6322,0.3265
4.0154,0.1931,3.6331,0.3263
4.0154,0.1931,3.6403,0.3183
4.0148,0.1932,3.6395,0.3318
